Isoline;Sites;Area Volume
1500;5;34,76840614
2000;46;501,2229559
2500;332;3518,630314
3000;765;9070,606741
3500;1096;16118,17263
4000;1329;23575,95821
4500;1475;31292,79207
5000;1557;38394,81308
5500;1626;44708,81972
6000;1671;50578,40933
6500;1703;56301,31419
7000;1732;61755,13338
7500;1756;67030,31452
8000;1770;71814,16719
8500;1786;76391,40831
9000;1796;80874,84354
9500;1800;85154,5456
10000;1807;89441,02915
10500;1816;93833,31625
11000;1819;98168,56121
11500;1826;102301,6433
12000;1829;106288,027
12500;1830;110027,3779
13000;1832;113645,5658
13500;1834;117334,605
14000;1836;120905,3912
14500;1836;124412,7205
15000;1837;127758,8107
15500;1837;131086,4347
16000;1838;134376,6565
16500;1840;137595,2801
17000;1840;140891,9906
17500;1840;144225,3382
18000;1840;147627,0361
18500;1840;151011,7065
19000;1842;154448,6301
19500;1843;158060,1941
20000;1846;161722,8402
20500;1846;165411,1525
21000;1847;169029,1148
21500;1847;172542,8401
22000;1847;176022,925
22500;1849;179433,2942
23000;1849;182855,8637
23500;1849;186268,7562
24000;1849;189681,8055
24500;1850;193002,8765
25000;1851;196264,369
25500;1851;199569,5164
26000;1851;203015,8101
26500;1851;206501,1072
27000;1851;209925,8424
27500;1851;213296,9864
28000;1851;216761,1869
28500;1852;220157,3146
29000;1852;223584,8884
29500;1852;227042,1174
30000;1852;230412,0135
30500;1852;233677,6674
31000;1852;236885,7329
31500;1852;240130,3449
32000;1852;243483,2508
32500;1852;246786,7081
33000;1852;250044,7767
33500;1852;253402,5113
34000;1852;256796,9986
34500;1853;260070,9137
35000;1853;263216,3007
35500;1853;266349,7446
36000;1853;269489,2162
36500;1853;272739,8837
37000;1853;276034,918
37500;1856;279308,1454
38000;1856;282560,0711
38500;1856;285744,0262
39000;1857;288929,6162
39500;1857;292134,0855
40000;1857;295309,7334
40500;1857;298513,9115
41000;1860;301790,9982
41500;1860;305076,1822
42000;1861;308365,7547
42500;1861;311623,8181
43000;1862;314882,3463
43500;1862;318214,501
44000;1862;321317,3425
44500;1862;324372,7355
45000;1862;327552,3088
45500;1862;330764,2683
46000;1862;334057,1296
46500;1862;337191,2896
47000;1864;340385,6838
47500;1864;343706,5584
48000;1865;346862,166
48500;1865;349896,1682
49000;1867;352878,1949
49500;1867;355840,0418
50000;1867;358734,0835
50500;1867;361696,8495
51000;1867;364775,0463
51500;1867;367836,3474
52000;1867;370781,0373
52500;1867;373355,9169
53000;1867;376060,7904
53500;1867;378402,8048
54000;1867;380656,0986
54500;1868;382913,2574
55000;1868;385154,7141
55500;1868;387350,6707
56000;1868;389527,3911
56500;1868;391733,0622
57000;1868;394016,1717
57500;1868;396509,352
58000;1868;398764,4616
58500;1868;401113,6901
59000;1868;403459,4213
59500;1868;405822,6236
60000;1868;408088,6478
60500;1868;410177,3308
61000;1868;412344,9132
61500;1868;415873,3204
62000;1868;417925,6175
62500;1869;419858,0692
63000;1869;421737,06
63500;1869;423573,6995
64000;1869;425447,5456
64500;1869;427315,6639
65000;1869;429143,7947
65500;1869;431063,0258
66000;1869;433136,9068
66500;1869;437707,7893
67000;1869;439499,98
67500;1869;441321,0146
68000;1869;443159,7489
68500;1869;444889,2893
69000;1869;447297,3368
69500;1869;449198,7942
70000;1869;450965,0726
70500;1869;452664,2813
71000;1869;454332,3921
71500;1869;455964,2267
72000;1869;457603,234
72500;1869;459232,8425
73000;1869;460920,034
73500;1869;462520,0213
74000;1869;464101,3314
74500;1869;465624,8642
75000;1869;467115,6288
75500;1869;468587,1787
76000;1869;469958,419
76500;1869;471241,8617
77000;1869;472473,1594
77500;1869;473774,8438
78000;1869;475052,2832
78500;1869;476322,5208
79000;1869;477556,1395
79500;1869;478861,1972
80000;1869;480222,897
80500;1869;481391,0161
81000;1869;482477,7811
81500;1869;483555,677
82000;1869;484628,6483
82500;1869;485727,9009
83000;1869;486857,0337
83500;1869;488010,5304
84000;1869;489169,9705
84500;1869;490281,0314
85000;1869;491384,9273
85500;1869;492610,9452
86000;1869;493813,0303
86500;1869;494897,905
87000;1869;496000,8722
87500;1869;497168,0937
88000;1869;498944,2503
88500;1869;500492,0903
89000;1869;501596,8804
89500;1869;502659,2897
90000;1869;503750,5974
90500;1869;504995,2771
91000;1869;506815,63
91500;1869;507798,8864
92000;1869;508735,5532
92500;1869;509610,4729
93000;1869;510421,9665
93500;1869;511177,0433
94000;1869;511891,9911
94500;1869;512562,7944
95000;1869;513194,7794
95500;1869;513809,3228
96000;1869;514390,8867
96500;1869;514936,4579
97000;1869;515481,8115
97500;1869;516038,6629
98000;1869;516729,0618
98500;1869;517394,7109
99000;1869;518084,7442
99500;1869;518778,5281
100000;1869;519443,397
100500;1869;520101,1324
101000;1869;520757,109
101500;1869;521426,8559
102000;1869;522104,808
102500;1869;522766,0356
103000;1869;523397,5509
103500;1869;524001,314
104000;1869;524600,5402
104500;1869;525201,8268
105000;1869;525949,6594
105500;1869;526678,0443
106000;1869;532545,67
106500;1869;533480,7747
107000;1869;534250,7414
107500;1869;534981,8944
108000;1869;535670,0063
108500;1869;536288,403
109000;1869;536878,1462
109500;1869;537444,4852
110000;1869;538003,5455
110500;1869;538578,77
111000;1869;539135,5803
111500;1869;539668,867
112000;1869;540204,9893
112500;1869;540736,6203
113000;1869;541266,1427
113500;1869;541790,5396
114000;1869;542313,5513
114500;1869;543973,4179
115000;1869;545282,7226
115500;1869;545939,0621
116000;1869;546507,1198
116500;1869;547050,1831
117000;1869;547583,6515
117500;1869;548102,5828
118000;1869;548754,5028
118500;1869;549218,0906
119000;1869;549668,4329
119500;1869;550116,1832
120000;1869;550565,1468
120500;1869;551019,5633
121000;1869;551495,3518
121500;1869;551992,6017
122000;1869;552465,8078
122500;1869;552893,4955
123000;1869;553304,8698
123500;1869;553705,4211
124000;1869;554096,4978
124500;1869;554479,0187
125000;1869;554862,3548
125500;1869;555255,5582
126000;1869;555645,3033
126500;1869;556039,7406
127000;1869;556420,5334
127500;1869;557297,2182
128000;1869;557679,1508
128500;1869;558051,1758
129000;1869;558410,1857
129500;1869;558748,1668
130000;1869;559065,2355
130500;1869;559364,2311
131000;1869;559644,6203
131500;1869;559913,9412
132000;1869;560178,3826
132500;1869;560427,6151
133000;1869;560663,9907
133500;1869;560899,3622
134000;1869;561171,1865
134500;1869;561446,6333
135000;1869;561736,5135
135500;1869;562024,1032
136000;1869;562234,6258
136500;1869;562429,2276
137000;1869;562609,9493
137500;1869;562913,4316
138000;1869;564068,4109
138500;1869;564600,5393
139000;1869;565085,2797
139500;1869;565585,008
140000;1869;565962,6742
140500;1869;566349,5966
141000;1869;566850,1393
141500;1869;567158,6421
142000;1869;567405,7701
142500;1869;567696,9242
143000;1869;568017,807
143500;1869;568316,298
144000;1869;568604,0301
144500;1869;568878,2738
145000;1869;569143,5318
145500;1869;569402,4936
146000;1869;569656,6925
146500;1869;569904,7325
147000;1869;570146,8381
147500;1869;570385,4772
148000;1869;570625,1195
148500;1869;570868,3383
149000;1869;571122,8962
149500;1869;571394,7603
150000;1869;571709,3803
150500;1869;572073,2008
151000;1869;572470,0757
151500;1869;572931,8769
152000;1869;573145,3555
152500;1869;573304,6781
153000;1869;573455,9396
153500;1869;573614,4599
154000;1869;573808,5323
154500;1869;574077,0362
155000;1869;574313,8211
155500;1869;574512,8825
156000;1869;574687,1234
156500;1869;574841,371
157000;1869;574976,2908
157500;1869;575093,2819
158000;1869;575192,8757
158500;1869;575275,054
159000;1869;575370,9894
159500;1869;575502,1764
