Isoline;Sites;Area Volume
500;636;112,83725
1000;637;362,1909328
1500;642;871,8650573
2000;685;2198,594284
2500;980;6222,159204
3000;1407;12600,57655
3500;1714;19952,18539
4000;1925;27609,57428
4500;2031;34921,24559
5000;2091;41506,54337
5500;2150;47652,40617
6000;2189;53487,47227
6500;2214;59158,74749
7000;2242;64471,23018
7500;2266;69613,59426
8000;2281;74336,88296
8500;2296;78873,99642
9000;2306;83405,44519
9500;2311;87705,03354
10000;2317;91951,28459
10500;2326;96248,66413
11000;2329;100507,0898
11500;2335;104639,73
12000;2338;108537,2677
12500;2339;112211,7487
13000;2341;115762,4351
13500;2343;119354,1668
14000;2345;122824,8114
14500;2345;126276,7224
15000;2346;129585,6048
15500;2346;132865,8602
16000;2347;136069,2499
16500;2349;139235,6257
17000;2349;142468,5684
17500;2349;145735,5327
18000;2349;149084,3701
18500;2349;152444,2187
19000;2351;155855,1504
19500;2352;159463,0372
20000;2355;163097,5256
20500;2355;166764,4714
21000;2356;170345,1114
21500;2356;173809,2902
22000;2357;177221,585
22500;2358;180572,2571
23000;2358;183936,9284
23500;2358;187277,3191
24000;2358;190686,1153
24500;2358;193998,6911
25000;2360;197251,305
25500;2360;200526,2977
26000;2360;203932,0738
26500;2360;207383,1675
27000;2360;210775,1183
27500;2360;214093,9436
28000;2360;217519,9707
28500;2361;220915,2099
29000;2361;224369,1767
29500;2361;227834,496
30000;2361;231177,8019
30500;2361;234435,6975
31000;2361;237684,2553
31500;2361;240966,8356
32000;2361;244339,2598
32500;2361;247640,7304
33000;2361;250885,2322
33500;2361;254239,3243
34000;2361;257651,3485
34500;2362;260893,5169
35000;2362;264036,8513
35500;2362;267202,1569
36000;2362;270392,8993
36500;2362;273648,7257
37000;2362;276941,52
37500;2365;280194,5768
38000;2365;283406,1813
38500;2365;286551,065
39000;2367;289749,7447
39500;2367;292954,2178
40000;2367;296170,1166
40500;2369;299432,0635
41000;2369;302719,5611
41500;2370;306040,7602
42000;2370;309346,2517
42500;2370;312645,3086
43000;2370;315959,7473
43500;2370;319309,306
44000;2370;322391,2542
44500;2370;325482,8036
45000;2371;328637,7621
45500;2371;331784,7377
46000;2371;335026,0459
46500;2372;338258,7515
47000;2373;341524,3608
47500;2373;344765,5909
48000;2374;347873,4562
48500;2374;350886,8855
49000;2376;353826,9397
49500;2376;356675,9929
50000;2376;359593,6817
50500;2376;362695,1119
51000;2376;365712,3184
51500;2377;368726,2735
52000;2377;371589,972
52500;2377;374204,9246
53000;2377;376977,2125
53500;2377;379258,4445
54000;2377;381475,2482
54500;2377;383735,5575
55000;2377;385968,1255
55500;2377;388146,0705
56000;2377;390295,2953
56500;2377;392460,9775
57000;2377;394806,1192
57500;2377;397260,3053
58000;2377;399635,5565
58500;2377;401816,9939
59000;2377;404001,122
59500;2377;406287,5763
60000;2377;408622,3457
60500;2377;410769,6448
61000;2377;412867,0112
61500;2377;416409,4179
62000;2377;418323,6961
62500;2377;420209,9412
63000;2378;421903,431
63500;2378;423599,6612
64000;2378;425431,8587
64500;2378;427267,73
65000;2378;429071,5498
65500;2378;430977,1319
66000;2378;433142,3196
66500;2378;437810,8147
67000;2378;439612,4941
67500;2378;441389,8245
68000;2378;443102,7539
68500;2378;444696,0632
69000;2378;447143,2584
69500;2378;449001,4821
70000;2378;450746,4699
70500;2378;452468,0667
71000;2378;454106,9543
71500;2378;455700,6041
72000;2378;457287,3283
72500;2378;458866,2185
73000;2378;460417,34
73500;2378;461971,8922
74000;2378;463538,6365
74500;2378;465060,7306
75000;2378;466559,7062
75500;2378;468021,5954
76000;2378;469399,6412
76500;2378;470679,5885
77000;2378;471935,4865
77500;2378;473215,4174
78000;2378;474481,1767
78500;2378;475707,1227
79000;2378;477038,5744
79500;2378;478374,6076
80000;2378;479715,27
80500;2378;480829,365
81000;2378;481941,4429
81500;2378;483057,9822
82000;2378;484183,8141
82500;2378;485292,826
